Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
"Baseline, Technical","The 'frozen' requirements, specifications, designs, and allocations needed for completion of the project based on known resources (staff, physical assets, knowledge, etc.) that will be needed",Adm,,,G
Basis of Estimate,"justification for arriving at a particular cost estimate, including estimating methods, approach taken, prices used, assumptions made; an analyzed and carefully calculated number",Adm,,,G
Batch Production,"Computational processing that is executed as inputs become available, in a distributed way across multiple enclaves when needed, while tracking status and outputs. Examples of Batch Production include offline processing for Prompt Data Products, calibration products, template images, and Special Programs data products. Prioritization protocols for the various types of batch production are given in LDM-148",DM,LDM-148,,G
BEAMS,Bayesian Estimation Applied to Multiple Species (software for classification of light curves based on photometry),Sci,,,G
BlackGEM,is a wide-field array of optical telescopes to be located at ESO's La Silla Observatory in Chile's Atacama desert. ,Sci,,,G
Blazhko,the phenomenon of amplitude or phase modulation. Associated with some RRL,Sci,,,G
brighter-fatter effect,The common term used to refer to one of the photometric qualities of the LSST camera: sources with a higher flux have a broader PSF. This is accounted for during calibration,DM,"LDM-151, https://arxiv.org/pdf/1402.0725v1.pdf",,G
Broker,"Software which receives and redistributes Alerts, and may also perform processing such as filtering for certain characteristics, cross-matching with non-LSST catalogs, and/or light-curve classification, in order to identify and prioritize targets for follow-up and/or make scientific analyses. ",DM,LDM-612,,G
Builder,Individuals who have accumulated 2 FTE years worth of employment/contributions to the LSST Project,Adm,,,G
Business Manager,"The person responsible for all business activities of the LSST Project and the LSST Corporation; he or she serves as liaison to AURA CAS, develops and monitors contracts, and serves as the LSST Corporation Secretary",Adm,,,G
Butler,"A middleware component for persisting and retrieving image datasets (raw or processed), calibration reference data, and catalogs",DM,"LDM-152, https://ldm-463.lsst.io/v/draft/index.html#id1",,G
Buyer,"Includes the terms 'Buyer' 'subcontract administrator or officer' 'contracts administrator or officer' sub-award administrator, or any other LSST-DA authorized procurement official as used herein are inter-changeable",Adm,,,G
CA-FACTS,NSF Cooperative Agreement Financial & Administrative Terms and Conditions,Gen,,,G
cadence,"The sequence of pointings, visit exposures, and exposure durations performed over the course of a survey",Sims Sci,,,G
CalExp,"A particular type of Butler dataset that consists of an image corresponding to a single CCD, which has been characterized and calibrated. (A Butler term.)",DM,LDM-151,Calexp,G
Calibrated Science Image,Deprecated term; see Processed Visit Image,DM,,"CSI, Processed Visit Image, PVI",G
calibration,"The process of translating signals produced by a measuring instrument such as a telescope and camera into physical units such as flux, which are used for scientific analysis. Calibration removes most of the contributions to the signal from environmental and instrumental factors, such that only the astronomical component remains",DM,LDM-151,,G
Calibration Image,"Any of a set of images used in the Instrument Signature Removal pipeline to remove distortions caused by the telescope, detector, or other sources, from the raw images. Includes darks, flats, tunable-laser dome flats, etc",DM,LDM-151,,G
Calibration Scientist,"The person responsible for the system calibration plan who establishes the requirements for the constituent elements of the calibration hardware, software, and operational data. The Calibration Scientist works under the direction of the Systems Engineering group",DM,,,G
Camcol,"In the SDSS survey, a camera column is the range (in declination) covered by a single sensor in the camera",CAM,,,G
Camera,"The LSST subsystem responsible for the 3.2-gigapixel LSST camera, which can take more than 800 panoramic images of the sky every night. SLAC led a consortium of Department of Energy laboratories to design and build the camera sensors, optics, electronics, cryostat, filters and filter exchange mechanism, and camera control system",CAM,,,G
camera,"An imaging device mounted at a telescope focal plane, composed of optics, a shutter, a set of filters, and one or more sensors arranged in a focal plane array",Sci,,,G
Camera Crosstalk-Corrected Image,An image from the Camera system that has had crosstalk removed but has not been processed by the Instrument Signature Removal pipeline,DM,,"C3 Image, Raw Image",G
CARMA,"Continuous time autoregressive moving average process, standard way to describe optical AGN variability",Sci,,,G
Catch-up Archiver,The Archiver for any images missed by the real time archiver,DM,,Archiver,G
CatSim,"The catalog simulator simulates the properties and distributions of stars, galaxies, and asteroids that LSST expects to observe",Sci,,,G
Center,An entity managed by AURA that is responsible for execution of a federally funded project,Adm,,,G
Central Administrative Services,"AURA corporate division responsible for providing accounting, procurement, and business IT support services to AURA centers",Adm,,,G
Change Control,"The systematic approach to managing all changes to the LSST system, including technical data and policy documentation. The purpose is to ensure that no unnecessary changes are made, all changes are documented, and resources are used efficiently and appropriately",Adm,,,G
Change Control Board,"Advisory board to the Project Manager; composed of technical and management representatives who recommend approval or disapproval of proposed changes to, deviations from, and waivers to a configuration item's current approved configuration documentation",Adm,,,G
Change Control Board Chair,"The person responsible for CCB administration and implementation of approved changes to the project technical, cost, and schedule baselines; the CCB Chair is also the Systems Engineering Manager (SEM)",Adm,,,G
Change Control Process,"collection of formal documented procedures used to apply technical and administrative direction and monitoring processes to the Project. Proposed changes to items under change control must undergo impact analysis to assess their effect(s) on project cost, schedule and performance capabilities. All changes to items under change control must be approved by the Project Manager, or if certain thresholds apply, by the LSST Director and/or the NSF. See LPM-19",Adm,,,G
Change Controlled Documents,Those documents which have been designated by the project as under formal configuration control,Adm,,,G
Channel,"An amplifier on an LSST camera CCD (see sensor). For LSST there are 16 amplifiers for each science sensor, resulting in 16 parallel data channels from each device. The 16 channels comprising a sensor are numbered from '0,0' through '1,7'.  This term may also refer to the raw data from a read-out amplifier of a sensor",CAM,,,G
Charge-Coupled Device,"a particular kind of solid-state sensor for detecting optical-band photons. It is composed of a 2-D array of pixels, and one or more read-out amplifiers",CAM Sci,,,G
Chi-squared Coadd Image,"A Coadd Image that is the weighted sum of multiple input images, where for each input: coadd.image += image.image**2 / image.variance coadd.mask |= image.weightMap += weight For bad pixels, coadd and weightMap are not altered. Note that the inputs must be aligned to a common projection and pixel grid and corrected to the same photometric scale and zero-point",DM,,Coadd Image,G
Chief Scientist,The principal scientific advisor  to the LSST Director; he or she acts as an interface to the science community in order to ensure that the LSST program is scientifically and technologically well founded and that the specifications are appropriate for achieving the scientific goals of the project,Adm,,,G
Citizen Science,"the collection and analysis of data relating to the natural world by members of the general public, typically as part of a collaborative project with professional scientists",Sci,,,G
cloud,"A visible mass of condensed water vapor floating in the atmosphere, typically high above the ground or in interstellar space acting as the birthplace for stars.  Also a way of computing (on other peoples computers leveraging their services and availability)",DM,,,G
Cluster On Board,Camera Data Acquisition board containing 8 Reconfigurable Cluster Elements,CAM,,,G
CMASS,"constant mass, a spectroscopic galaxy sample as part of the BOSS survey",Sci,,,G
CmdLineTask,"A special kind of Task that can read its inputs and write its outputs using a Butler, and can run easily from the command-line. CmdLineTask is a specific implementation of the concept of a command-line task. CmdLineTasks are being phased out in favor of PipelineTasks. ",DM,,PipelineTask,G
Coadd Image,"An image that is the combination of multiple input images. The inputs are aligned to a common projection and pixel grid, corrected to the same photometric scale and zero-point, with bad pixels and artifacts rejected. (Image PSFs may also be matched prior to co-addition.) Coadd Images have had non-astrophysical background removed",DM,,"Co-Add, CoAdd, co-add, coadd",G
COBRA,The trade name for an integrated suite of project management software programs that work together to track all aspects of an ongoing construction job,Adm,,,G
Collimated Beam Projector,"The hardware to project a field of sources onto discrete sections of the telescope optics in order to characterize spatial variations in the telescope and instrument transmission function, and to monitor filter throughput evolution during the survey. Images obtained using the CBP will be used in calibration",DM,LDM-151,CBP,G
ComCam,"The commissioning camera is a single-raft, 9-CCD camera that will be installed in LSST during commissioning, before the final camera is ready",Gen,,,G
command-line task,"An enhancement of a Task in the LSST Stack context, it is the equivalent of a data processing pipeline and may be run directly from the shell command-line. A command-line task minimally consists of: a configuration and metadata, an argument parser, and a run method and a runner script",DM,,Task,G
Commissioning,"A two-year phase at the end of the Construction project during which a technical team a) integrates the various technical components of the three subsystems; b) shows their compliance with ICDs and system-level requirements as detailed in the LSST Observatory System Specifications document (OSS, LSE-30); and c) performs science verification to show compliance with the survey performance specifications as detailed in the LSST Science Requirements Document (SRD, LPM-17)",Adm,,,G
community alert broker,term for Broker built by the community,Sci,,,G
community software,"Software developed for and shared among a large group of relatively like-minded users (e.g. astronomers). Typically, but not necessarily, open source software and open development-based",DM,,,G
Compliance,"Adherence to the laws, regulations, award terms and conditions, specifications, and internal policies applicable to the LSST Project",Adm,,,G
Compliance and Quality Administrator,"The person who directs activities designed to ensure the LSST Project's compliance with all applicable laws, regulations and internal policies. The CQA reports directly to the LSST Project Manager. However, if appropriate and applicable, s/he also may directly report significant compliance issues and matters to the LSST Director and the NSF",Adm,,,G
configuration,"A task-specific set of configuration parameters, also called a `config'. The config is read-only; once a task is constructed, the same configuration will be used to process all data. This makes the data processing more predictable: it does not depend on the order in which items of data are processed. This is distinct from arguments or options, which are allowed to vary from one task invocation to the next",DM,,config,G
Configuration Item,"Any component of the LSST system, such as requirements, specifications, designs, characteristics, and/or documents describing the aforementioned, that has reached a baseline point and is under change control",Adm,,,G
Constraint,An external limitation imposed on a delivered item under which it must meet its requirements (e.g. the survey performance must be met under the constraint of the historical weather pattern of the chosen site).  A constraint is not a characteristic possessed by the system or subsystem itself,Adm TS CAM DM SE,,,G
Construction,"The period during which LSST observatory facilities, components, hardware, and software are built, tested, integrated, and commissioned. Construction follows design and development and precedes operations. The LSST construction phase is funded through the NSF MREFC account",Adm,,,G
Container,"a lightweight, standalone, executable package of software that includes everything needed to run an application: code, runtime, system tools, system libraries and settings",DM,,,G
Contingency,"The project's overall reserves in excess of the documented baselines for budget, schedule, and technical scope. Held in order to accommodate unexpected events or circumstances that represent potential risk to the project",Adm,,,G
Contingency Management,"The formal process that provides the ability and flexibility to solve unforeseen issues that may impact the project's budget, schedule, and technical performance. The process incorporates activity-based uncertainties and high impact event-based uncertainties",Adm,,,G
Contract,"A binding legal agreement between parties obligating the one (typically the  'seller') to furnish certain supplies or services and the other (typically, the buyer) to compensate the seller for the supplies or services with some form of consideration, (typically money). The term, 'contract' is used interchangeably with 'sub-award' 'agreement' 'memorandum of understanding and/or agreement' and 'purchase order' Each is a term used to differentiate between a purchase-order-format type document and a complex purchase in a subcontract/sub-award-format type document. These also include awards and notices of awards; job orders or task letters issued under basic ordering agreements; letter contracts; orders, such as purchase orders and subcontracts under which the order becomes effective by written acceptance or performance; and bilateral contract modifications",Adm,,,G
Cost Estimate,"An approximation of total costs required for completion of the project based on known resources (staff, physical assets, knowledge, etc.) that will be needed",Adm,,,G
Critical Decision 4,"Approve Start of Operations or Project Completion. CD-4 approval marks the achievement of the completion criteria (i.e., KPPs) defined in the PEP (or in the PRD, for NNSA projects), and if applicable, subsequent approval of transition to operations. ",DOE,,,G
Cyber Infrastructure,"Sometimes denoted CI, A term first used by the US NSF, and it typically is used to refer to information technology systems that provide particularly powerful and advanced capabilities",DM,,,G
cycle,"The time period over which detailed, short-term plans are defined and executed. Normally, cycles run for six months, and culminate in a new release of the LSST Software Stack, however this need not always be the case",DM,,planning,G
dashboard,"A visual display of the most important information needed to achieve one or more objectives, consolidated and arranged on a single screen so that the information can be monitored at a glance (as in Few, S., 2013, Information Dashboard Design, Analytics Press, 2 edn.)",DM QA,DMTN-085,,G
Data Access Center,"Part of the LSST Data Management System, the US and Chilean DACs will provide authorized access to the released LSST data products, software such as the Science Platform, and computational resources for data analysis. The US DAC also includes a service for distributing bulk data on daily and annual (Data Release) timescales to partner institutions, collaborations, and LSST Education and Public Outreach (EPO). ",DM,LDM-148,DAC,G
Data Backbone,"The software that provides for data registration, retrieval, storage, transport, replication, and provenance capabilities that are compatible with the Data Butler. It allows data products to move between Facilities, Zones, and DACs by managing caches of files at each endpoint, including persistence to long-term archival storage (e.g. tape)",DM,LDM-148,DBB,G
data collection,"A data collection in the second-generation (Gen2) Butler (referred to as a data repository in earlier generations) consists of hierarchically organized data files, an inventory or registry of the contents (i.e., metadata from the data files) stored in an sqlite3 file, and a Mapper file that specifies to the LSST Stack software the camera model to apply when accessing the data in the data repository",DM,,"repository, collection",G
Data Identifier,"A specification of one or more specific metadata that allow the selection of data from a collection. The specific metadata vary, depending on the origin of the data, but often include some sort of visit identifier, a sensor or CCD, and a filter. For details of syntax, see the Data Identifiers page",DM,https://confluence.lsstcorp.org/display/LSWUG/Data+Identifiers,,G
Data Management,"The LSST Subsystem responsible for the Data Management System (DMS), which will capture, store, catalog, and serve the LSST dataset to the scientific community and public. The DM team is responsible for the DMS architecture, applications, middleware, infrastructure, algorithms, and Observatory Network Design. DM is a distributed team working at LSST and partner institutions, with the DM Subsystem Manager located at LSST headquarters in Tucson",DM,LDM-294,DM,G
Data Management Subsystem,The Data Management Subsystem is one of the four subsystems which constitute the LSST Construction Project. The Data Management Subsystem is responsible for developing and delivering the LSST Data Management System to the LSST Operations Project,DM,,,G
Data Management System,"The computing infrastructure, middleware, and applications that process, store, and enable information extraction from the LSST dataset; the DMS will process peta-scale data volume, convert raw images into a faithful representation of the universe, and archive the results in a useful form. The infrastructure layer consists of the computing, storage, networking hardware, and system software. The middleware layer handles distributed processing, data access, user interface, and system operations services. The applications layer includes the data pipelines and the science data archives' products and services",DM,LSE-61,DMS,G
Data Product,"The LSST survey will produce three categories of Data Products. Prompt, Data Release, User Generated. Previously referred to as Levels 1, 2, and 3",DM,LPM-231,,G
Data Release,"The approximately annual reprocessing of all LSST data, and the installation of the resulting data products in the LSST Data Access Centers, which marks the start of the two-year proprietary period",DM,,DR,G
Data Release Data Product,"These products will be made available annually as the result of coherent processing of the entire science data set to date. These will include calibrated images; measurements of positions, fluxes, and shapes; variability information such as orbital parameters for moving objects; and an appropriate compact description of light curves. The Data Release Data Products will include a uniform reprocessing of the difference-imaging-based Prompt Data Products",DM,"LDM-151, LSE-163, LPM-231",Level 2 Data Product,G
Data Release Processing,Deprecated term; see Data Release Production,DM,,"DRP, Level 2 Processing, Data Release Production",G
Data Release Production,"An episode of (re)processing all of the accumulated LSST images, during which all output DR data products are generated. These episodes are planned to occur annually during the LSST survey, and the processing will be executed at the Archive Center. This includes Difference Imaging Analysis, generating deep Coadd Images, Source detection and association, creating Object and Solar System Object catalogs, and related metadata",DM,"LDM-151, LSE-163","DRP, Level 2 Processing",G
data repository,"A data repository consists of hierarchically organized data files, an inventory or registry of the contents (i.e., metadata from the data files) stored in an sqlite3 file, and a Mapper file that specifies to the LSST Stack software the camera model to apply when accessing the data in the repository. With the second-generation (Gen2) Butler, the term repository will be replaced by data collection",DM, https://ldm-463.lsst.io/v/draft/index.html#repository,collection,G
database schema,"A database schema defines how content is structured, as described in a formal language supported by the database management system. It refers to a mapping of the data model to the database structure, as realized in the partitioning of information into fields within tables of related information",DM,,,G
deblend,"Deblending is the act of inferring the intensity profiles of two or more overlapping sources from a single footprint within an image. Source footprints may overlap in crowded fields, or where the astrophysical phenomena intrinsically overlap (e.g., a supernova embedded in an external galaxy), or by spatial co-incidence (e.g., an asteroid passing in front of a star). Deblending may make use of a priori information from images (e.g., deep CoAdds or visit images obtained in good seeing), from catalogs, or from models. A 'deblend' is commonly referred to in terms of 'parent' (total) and 'child' (component) objects",DM,LDM-151,,G
declination,"Often abbreviated Dec, it is a part of an equatorial coordinate pair that expresses the angular distance (usually expressed in degrees) from the Celestial Equator, measured along great circles that intersect the Equatorial poles. Positions south of the equator are given negative sign",Sci,,,G
deepCoadd,A Coadd Image designed to produce detections as maximum depth. Produced by AssembleCoaddTask,DM,,Coadd,G
deepDiff,A Difference Image that results from subtracting a template from a CalExp,DM,,DiffIm,G
deg,degree; unit of angle,Gen,,,G
Department of Energy,cabinet department of the United States federal government; the DOE has assumed technical and financial responsibility for providing the LSST camera. The DOE's responsibilities are executed by a collaboration led by SLAC National Accelerator Laboratory,Adm,,DOE,G
Deputy Director,"The person who supports the Director in the execution of the overall LSST project and assumes his or her duties and authority during any short term or extended absence, planned or unplanned",Adm,,,G
Descope,A strategic downward revision to project objectives,Adm,,,G
deVaucouleurs profile,"The radial distribution of flux of an astronomical source that is characterized as: I(r)=I0exp(7.67(r/re)1/4) An elliptical version of this profile can be fit to every detected source, yielding the deVaucouleurs parameters",Sci,,,G
DIAObject,"A DIAObject is the association of DIASources, by coordinate, that have been detected with signal-to-noise ratio greater than 5 in at least one difference image. It is distinguished from a regular Object in that its brightness varies in time, and from a SSObject in that it is stationary (non-moving)",DM,LSE-163,DIA Object,G
DIASource,A DIASource is a detection with signal-to-noise ratio greater than 5 in a difference image,DM,LSE-163,DIA Source,G
Difference Image,"Refers to the result formed from the pixel-by-pixel difference of two images of the sky, after warping to the same pixel grid, scaling to the same photometric response, matching to the same PSF shape, and applying a correction for Differential Chromatic Refraction. The pixels in a difference thus formed should be zero (apart from noise) except for sources that are new, or have changed in brightness or position. In the LSST context, the difference is generally taken between a visit image and template. ",DM,"LDM-151, LSE-163",DiffIm,G
Difference Image Analysis,"The detection and characterization of sources in the Difference Image that are above a configurable threshold, done as part of Alert Generation Pipeline",DM,"LDM-151, LSE-163","DIA, Difference Image Processing",G
Differential Chromatic Refraction,"The refraction of incident light by Earth's atmosphere causes the apparent position of objects to be shifted, and the size of this shift depends on both the wavelength of the source and its airmass at the time of observation. DCR corrections are done as a part of DIA",DM,DMTN-017,DCR,G
Director,"The person responsible for the overall conduct of the project; the Rubin director is charged with ensuring that both the scientific goals and management constraints on the project are met. S/he is the principal public spokesperson for the project in all matters and represents the project to the scientific community, AURA, the member institutions of LSST-DA, and the funding agencies",Adm,,,G
Docker,A system for packaging and distributing software using self-contained containers which may be run on any Linux system; \url{https://www.docker.com/},DM,,,G
Document,Any object (in any application supported by DocuShare or design archives such as PDMWorks or GIT) that supports project management or records milestones and deliverables of the LSST Project,Adm,,,G
Document Specialist,The person responsible for maintaining the Project's document archive (DocuShare) as well as providing editing and technical writing services. He or she also coordinates administrative support to the Project Management Office and the distributed Project team,Adm,,,G
DocuShare,The trade name for the enterprise management software used by LSST to archive and manage documents,Adm,,,G
drill down,"Move from a higher level aggregation of data to its inputs. For example, given data describing a tract, to drill down to constituent patches and then to objects. Also refers to the act of identifying an issue in a high-level summary of the data (e.g. an aberrant metric value) and interactively investigating its inputs to find the source of the problem",DM QA,DMTN-085,,G
Earned Value,A measurement of how much work has been completed compared to how much was expected to have been completed at a given point in the project,Adm,,,G
Earned Value Management,A project management technique for objectively measuring project performance and progress in terms of budget and schedule,Adm Gen,,,G
Earned Value Management System,"A set of tools, techniques and procedures which are used to implement a EVM approach to project management",Adm Gen,,,G
Education and Public Outreach,"The LSST subsystem responsible for the cyberinfrastructure, user interfaces, and outreach programs necessary to connect educators, planetaria, citizen scientists, amateur astronomers, and the general public to the transformative LSST dataset",EPO,,EPO,G
Eimage,"An output product of PhoSim, an Eimage is a simulation of the response of a single sensor, where the outputs of the constituent amps have been integrated, and the effects of variations in pixel-to-pixel sensitivity and amplifier gains have been removed",Sims,,,G
element,A node in the hierarchical project WBS,DM,,,G
Enclave,No Longer used - Rubin uses Zone now,DM,LDM-148,,G
Encumbrances,"A contingent liability, contract, purchase order, payroll commitment, tax payable, or legal penalty that is chargeable to an account; it ceases to be an encumbrance when paid out or when the actual liability amount is determined and recorded as an expense",Adm,,,G
ephemeris,"An ephemeris (pl: ephemerides) gives the predicted positions of astronomical objects or artificial satellites in the sky with time. The ephemerides are computed from mathematical models of motion of the object and the Earth. In LSST Solar System Processing, it refers to a predicted position (RA/Dec/time/etc) of a Solar System Object (SSObject)",Sci,,,G
epic,A self contained work with a concrete deliverable which my be scheduled to take place with a single cycle and WBS element,DM,,,G
epoch,"Sky coordinate reference frame, e.g., J2000. Alternatively refers to a single observation (usually photometric, can be multi-band) of a variable source",Sci,,,G
Escalation,Change in the cost or price of specific goods and services in a given economy over a period,Adm,,,G
eups,"ExtUPS (usually abbreviated as eups) is the software component management system that is used for the LSST Stack. It enables a choice of which versions of components should be used for a software build, and ensures that a consistent set is chosen. See the Eups Tutorial for details",DM,https://developer.lsst.io/stack/eups-tutorial.html,ExtUPS,G
eups-tag,A versioned tag for eups that identifies a build product with its git-source SHA-1 identifier,DM,https://developer.lsst.io/stack/eups-tutorial.html,,G
exponential profile,The radial distribution of flux of an astronomical source that is characterized: I(r)=I0exp(.68(r/re)) The normalization 1.68 is chosen so that the model radius is a half-light radius. An 2-dimensional elliptical version of this profile is fit to every detected source,Sci,,,G
Filter,"A filter in astronomy is an optical element used to restrict the passband of light reaching the focal plane, it transmits a selected range of wavelengths. Filters elements are often named after standard photometric passbands, such as those used in the SDSS survey: u, g, r, i, z",CAM,,,G
Fink,"Fink is a community driven project, open to anyone, that processes time-domains alert streams and connects them with follow-up facilities and science teams. \url{https://fink-broker.org}",OPS,,,G
Firefly,"A framework of software components written by IPAC for building web-based user interfaces to astronomical archives, through which data may be searched and retrieved, and viewed as FITS images, catalogs, and/or plots. Firefly tools will be integrated into the Science Platform",DM,https://github.com/Caltech-IPAC/firefly,,G
Flexible Image Transport System,"an international standard in astronomy for storing images, tables, and metadata in disk files. See the IAU FITS Standard for details",DM,,,G
flux,"Shorthand for radiative flux, it is a measure of the transport of radiant energy per unit area per unit time. In astronomy this is usually expressed in cgs units: erg/cm$^2$/s",Sci,,,G
Focal plane array,"A focal plane array (FPA) is the arrangement of multiple sensors in the focal plane of a camera. For LSST, the FPA is divided into an array of contiguous rafts, upon which 9 science sensors are mounted 3x3. Additional engineering sensors are mounted on rafts near the periphery to support wavefront sensing and telescope guiding",CAM,,,G
footprint,"See 'source footprint', 'instrumental footprint', or 'survey footprint', `Footprint` is a Python class representing a source footprint",DM,LDM-151,,G
FORCE11," a community of scholars, librarians, archivists, publishers and research funders interested in the Future of Research Communications and e-Scholarship",Sci,,,G
forced photometry,"A measurement of the photometric properties of a source, or expected source, with one or more parameters held fixed. Most often this means fixing the location of the center of the brightness profile (which may be known or predicted in advance), and measuring other properties such as total brightness, shape, and orientation. Forced photometry will be done for all Objects in the Data Release Production",DM,"LDM-151, LSE-163",,G
ForcedSource,DRP table resulting from forced photometry,DM,"LDM-151, LSE-163",,G
Full-Time Equivalent,"A unit equivalent to one person working full time for one year with normal holidays, vacations, and sick time. No paid overtime is assumed",Adm Gen,,,G
Gaia,"a space observatory of the European Space Agency, launched in 2013 and expected to operate until 2025. The spacecraft is designed for astrometry: measuring the positions, distances and motions of stars with unprecedented precision",Sci,,,G
GalSim,"GalSim is open-source software for simulating images of astronomical objects (stars, galaxies) in a variety of ways",Sci,,,G
Gaussian Aperture and PSF," involves Gaussianizing the PSFs and then using a Gaussian aperture (instead of top-hat) for measuring photometry. The aperture+PSF is designed to be the same across all bands, so that one measures consistent colors",DM,,,G
GEANT,pan-European data network for the research and education community,Gen,,,G
GEANT4,A particle simulation toolkit ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,G
General Parallel File System,The bulk data storage provided through a POSIX filesystem interface at the LSST Data Facility. Refers specifically to IBM's General Parallel File System; also known as IBM Spectrum Scale,DM QA,DMTN-085,GBFS,G
git,"A distributed revision control system, often used for software source code. See the Git User Manual for details. Not developed by LSST DM",DM,https://git-scm.com/,,G
git-tag,The tag assigned to a particular SHA-1 identifier which associates the git source with an eups-tag of the build product,DM,https://git-scm.com/,git,G
Global Interlock System,"A safety system that makes mechanisms or functions of the observatory system mutually dependent in order to prevent equipment from harming people or equipment by preventing  one element from changing state due to the state of another element, and vice versa",TS,,,G
Handle,The unique identifier assigned to a document uploaded to DocuShare,Adm,,,G
Head of Safety,See Safety Manager,Adm,,,G
Hierarchical Triangular Mesh, is a partitioning scheme to divide the surface of the unit sphere into spherical triangles. It is a hierarchical scheme and the subdivisions have roughly equal areas. HTM is used to index the coordinates in the object databases for faster querying speeds,DM Sci,"http://www.skyserver.org/htm/,  https://www.microsoft.com/en-us/research/wp-content/uploads/2005/09/tr-2005-123.pdf",,G
HSM,Shape measurement algorithm from Hirata & Seljak (2003) and Mandelbaum et al. (2005),Sci,,,G
Image Decorrelation,"A method of improving the noise properties of the Difference Image in cases where the Template Image has a significant amount of noise, in order to use the same detection thresholds for defining DIASources",DM,"LDM-151, DMTN-021",,G
Image Reduction and Analysis Facility,  a collection of software written at the National Optical Astronomy Observatory (now NOIRLab) geared towards the reduction of astronomical images in pixel array form,DM,,,G
Image Simulation,"High fidelity end-to-end simulations of the sky; these simulated images are used in designing and testing algorithms for use by Data Management; evaluating the capabilities and scalability of the reduction and analysis pipelines; testing and optimizing the scientific returns of the LSST survey; and providing realistic LSST data to the science collaborations to evaluate the expected performance of LSST. Under the direction of the Systems Engineering group, the Image Simulation group's principle goal during construction is to deliver a simulator to support commissioning",Sims,,,G
Incident,"An undesired event, which under slightly different circumstances, could have resulted in harm to people, damage to property, or loss to process",Adm,,,G
Independent Data Access Center,"Externally supported and administered versions of the DAC to serve the full, or a limited subset of, the LSST data products and/or software to authorized users. ",DM,LPM-251,iDAC,G
Information Technology Services Committee,"Internal LSST Project Office committee charged with managing project IT services, including advising management on which services LSST should use. The ITSC's goals are 1) to ensure interoperability exists among products, 2) to combine, reuse and/or, recycle existing services when possible, 3) to prevent applications from becoming stagnant or security hazards, 4) to make recommendations on whether a particular tool remains 5) to keep the project informed of what is going on at all spectrums, and 6) to make recommendations for how the Project Office will transition into commissioning and operations",Adm,,,G
Information Technology Systems Administrator,"The person responsible for maintaining the Project Office's servers, networks, and computing hardware; he or she also provides technical support to the Project Management Office and the distributed Project team",Adm,,,G
Instance Catalog,"A catalog of astronomical sources containing source type, coordinates, brightnesses, and SEDs for use in creating simulated LSST images with PhoSim. Synonym with trim file",Sims,,,G
Institutional Member,"An organization such as an institute, observatory, university, or company committed to making an intellectual, financial, or other significant contribution to LSST operations or to preparing the scientific community to use the LSST dataset. They are members of the LSST Corporation and pay an annual membership fee in an amount established by the LSST-DA Board of Directors",Adm,,,G
Instrument Signature Removal,"Instrument Signature Removal is a pipeline that applies calibration reference data in the course of raw data processing, to remove artifacts of the instrument or detector electronics, such as removal of overscan pixels, bias correction, and the application of a flat-field to correct for pixel-to-pixel variations in sensitivity",DM,LDM-151,ISR,G
instrumental footprint,"The size and shape of a region on the sky that is covered by the field of view of an instrument, or part of an instrument, e.g., the LSST Camera, or ComCam, or a single LSST CCD.  Often represented by a geometric region defined in field-angle space",DM,,,G
Integrated Project Schedule,"Complete picture of the entire project life cycle. By incorporating all project phases into the same model, the IPS allows the project team to plan the critical interfaces not only among project work elements but also among the design, construction, commissioning, and operations phases",Adm,,,G
Interactive Data Language,a programming language used for data analysis. Harris Geospatial \url{https://www.harrisgeospatial.com/Software-Technology/IDL},DM,,IDL,G
Interface Control Document,"A Document that describes, defines, and controls the interface(s) of a system, thereby bounding its requirements. The description includes the inputs and outputs of a single system or element. An ICD may also describe the interface between two systems or subsystems. The purpose of the ICD is to communicate all possible inputs to and all potential outputs from a system for some potential or actual user of the system in operations. The internal interfaces of a system or subsystem are typically not documented in an ICD, but rather in a system design document",Adm,,,G
Interface Support Document,"Constrains an ICD through such things as dictionaries, protocols, or definitions of system-wide architectural frameworks by which the subsystem teams must abide. However, ISDs do NOT contain requirements. ISDs are written by the subsystem teams with a stake in the subject matter; they are change controlled documents",Adm,,,G
International Affiliate,"An organization outside of the United States or Chile such as an institute, university, consortium, or government agency that has agreed to share in the annual operating costs of the LSST in exchange for data rights for a specified list of principal investigators during LSST operations and commissioning. These data rights may include access to specified project resources prior to operations. Rights also come with responsibilities, similar to those required of U.S.-based scientists, regarding unauthorized redistribution of data",Adm,,,G
interoperability,the ability of systems or software to exchange and make use of information between them,DM,,,G
J2000,"Julian Date referring to the instant of 12 noon (midday) on January 1, 2000. IAU standard equinox",Sci,,,G
JIRA,issue tracking product (not an acronym but a truncation of Gojira the Japanese name for Godzilla),Gen,,,G
Joint Oversight Group,oversight body comprised of representatives from the NSF and DOE; the JOG meets regularly with LSST senior management to coordinate the Project's activities,Adm,,,G
jointcal,"The jointcal package optimizes the astrometric and photometric calibrations of a set of astronomical images that cover a sky tract and were obtained as a series of visits, which may be spread out in time. The jointcal algorithms incorporates object matching both between visits and to reference star catalogs, and produces more accurate distortion and throughput models than if the astrometry and photometry were fit independently. Jointcal is a part of the Science Pipelines",DM,"DMTN-036, LDM-151",,G
